Date,Open,High,Low,Close,Adj Close,Volume
2013-05-09,55805000000,56072000000,54905000000,55448000000,55448000000,4799400
2013-05-10,55446000000,55446000000,54832000000,55108000000,55108000000,5315200
2013-05-13,55106000000,55106000000,54389000000,54448000000,54448000000,3956400
2013-05-14,54442000000,55030000000,54327000000,54667000000,54667000000,5094800
2013-05-15,54668000000,55216000000,54488000000,54936000000,54936000000,4899800
2013-05-16,54943000000,55539000000,54592000000,54773000000,54773000000,5080200
2013-05-17,54780000000,55489000000,54780000000,55164000000,55164000000,4067400
2013-05-20,55162000000,55705000000,54630000000,55701000000,55701000000,4164800
2013-05-21,55699000000,56265000000,55379000000,56265000000,56265000000,3898600
2013-05-22,56269000000,57099000000,56037000000,56429000000,56429000000,4872400
2013-05-23,56423000000,56423000000,55379000000,56350000000,56350000000,4072000
2013-05-24,56350000000,56506000000,55901000000,56406000000,56406000000,4852600
2013-05-27,56415000000,56562000000,56353000000,56396000000,56396000000,2051200
2013-05-28,56399000000,56979000000,56009000000,56036000000,56036000000,4175200
2013-05-29,56032000000,56032000000,54635000000,54635000000,54635000000,5004200
2013-05-31,54633000000,54776000000,52942000000,53506000000,53506000000,8790400
2013-06-03,53512000000,53993000000,53143000000,53944000000,53944000000,4336200
2013-06-04,53944000000,54289000000,53498000000,54018000000,54018000000,4314600
2013-06-05,54019000000,54207000000,52774000000,52799000000,52799000000,4630200
2013-06-06,52813000000,52937000000,52244000000,52885000000,52885000000,4088800
2013-06-07,52877000000,52877000000,51428000000,51619000000,51619000000,5635400
2013-06-10,51619000000,51836000000,51160000000,51317000000,51317000000,4689400
2013-06-11,51314000000,51314000000,49709000000,49770000000,49770000000,5560600
2013-06-12,49777000000,50380000000,48746000000,49181000000,49181000000,7780000
2013-06-13,49758000000,50444000000,48968000000,50415000000,50415000000,6228400
2013-06-14,50415000000,50656000000,49330000000,49332000000,49332000000,5826000
2013-06-17,49337000000,50123000000,49074000000,49089000000,49089000000,5324600
2013-06-18,49089000000,49550000000,48414000000,49465000000,49465000000,5977200
2013-06-19,49457000000,49698000000,47838000000,47893000000,47893000000,6582600
2013-06-20,47884000000,48214000000,45930000000,48214000000,48214000000,8789400
2013-06-21,48209000000,48209000000,46918000000,47056000000,47056000000,6416400
2013-06-24,47039000000,47039000000,45406000000,45965000000,45965000000,6301400
2013-06-25,45967000000,47119000000,45967000000,46893000000,46893000000,4773600
2013-06-26,46903000000,47725000000,46903000000,47172000000,47172000000,5636200
2013-06-27,47135000000,48053000000,47135000000,47609000000,47609000000,5567200
2013-06-28,47609000000,47639000000,47059000000,47457000000,47457000000,5752800
2013-07-01,47458000000,47674000000,46676000000,47230000000,47230000000,6658400
2013-07-02,47222000000,47222000000,44819000000,45229000000,45229000000,8123400
2013-07-03,45227000000,45827000000,44552000000,45044000000,45044000000,6998800
2013-07-04,45046000000,46097000000,45046000000,45763000000,45763000000,5100400
2013-07-05,45757000000,45757000000,44107000000,45210000000,45210000000,6988200
2013-07-08,45211000000,45740000000,44839000000,45076000000,45076000000,4664000
2013-07-10,45211000000,45955000000,45082000000,45483000000,45483000000,4867600
2013-07-11,45494000000,46719000000,45494000000,46626000000,46626000000,5587800
2013-07-12,46624000000,46624000000,45529000000,45533000000,45533000000,5357200
2013-07-15,45533000000,46840000000,45533000000,46739000000,46739000000,4842800
2013-07-16,46749000000,47330000000,46417000000,46869000000,46869000000,4775800
2013-07-17,46869000000,47710000000,46869000000,47407000000,47407000000,5185000
2013-07-18,47404000000,48057000000,47093000000,47657000000,47657000000,4285200
2013-07-19,47650000000,47650000000,47163000000,47400000000,47400000000,3474000
2013-07-22,47407000000,48879000000,47407000000,48574000000,48574000000,4132000
2013-07-23,48579000000,49379000000,48579000000,48820000000,48820000000,4579400
2013-07-24,48816000000,48888000000,47999000000,48374000000,48374000000,5006400
2013-07-25,48372000000,49123000000,48007000000,49067000000,49067000000,4935600
2013-07-26,49068000000,49422000000,48633000000,49422000000,49422000000,3997400
2013-07-29,49414000000,49461000000,48975000000,49212000000,49212000000,3285200
2013-07-30,49220000000,49669000000,48560000000,48562000000,48562000000,5507600
